API명,필드수
부산 도시철도 역사 정보,3
사건정보 서비스,1
원자력발전소 실시간 대기안정도 현황,9
[인천공항] 여객편 운항현황 (다국어),29
[인천공항] 화물편 운항현황 (다국어),26
[인천공항]여객편 주간 운항현황,0
부산 도시철도 공공 시설물 정보,10
시설정보 조회 서비스,39
[인천공항] 공항 별 항공통계 서비스,28
[인천공항] 시간대별 항공통계 서비스,28
[인천공항] 국가별 항공통계 서비스,28
[인천공항] 항공사별 항공통계서비스,31
부산 도시철도 문화행사 정보,8
부산 도시철도 운행 정보,8
부산 도시철도 장애인 편의시설 정보,3
대전광역시 문화관광(숙박정보),20
사건통계정보 서비스,0
수질정보 조회 서비스,19
한국남동발전 발전실적 조회서비스,13
한국남동발전 연료도입실적 조회 서비스,8
한국남동발전 발전소 주변농도 조회 서비스,9
판례검색,0
한국남동발전 연료정보지 다운로드 서비스,7
최근 선고/변론사건 정보,4
대전광역시 스토리대전,13
판례정보,1
한국남동발전 대기오염물질배출 조회서비스,13
유량정보 조회 서비스,44
한국남동발전 연료소비실적 조회서비스,15
대전광역시 자동차 검사일,0
대전광역시 입찰정보,0
대전광역시 시정소식,6
대전광역시 대전뉴스동영상,1
대전광역시 시험정보,17
원자력발전소 실시간 온배수현황,11
서울특별시교육청 공공도서관 소장도서정보,22
광주광역시 BIS 노선-정류소 정보,2
관광용어 외국어 용례사전,0
원자력발전소 실시간 발전현황,11
원자력발전소 실시간 폐수 수질 현황,11
원자력발전소 실시간 기상정보,11
원자력발전소 실시간 주변 방사선량,11
동물보호관리시스템 유기동물 조회 서비스,59
반려동물 등록대행업체 조회 서비스,15
광주광역시 BIS 노선정보,1
광주광역시 BIS 도착정보,4
광주광역시 BIS 정류소 정보,0
청소년 활동정보 신고 프로그램 서비스,0
청소년 활동정보 인증프로그램 서비스,0
해운대구 자전거도로 정보 조회 서비스,9
법적상태정보 검색 서비스,0
부산버스정보시스템,94
보건의료기관조회서비스,0
공공기관조회서비스,42
공동주택현황조회서비스,19
군포시 정류장정보 제공서비스,11
청소년 활동정보 공지사항 서비스,0
청소년 활동 정보,0
청소년 활동정보 운영기관 서비스,0
청소년 활동정보 공공기관 프로그램 서비스,0
청소년 활동정보 방학 중 프로그램 서비스,0
국제교류프로그램 정보 서비스,0
군포시 노선정보 제공서비스,10
군포시 실시간버스정보 제공서비스,9
공시지가조회서비스,50
공공강좌정보조회서비스,35
개별주택가격조회서비스,50
국제거래정보서비스,0
파생결합증권정보서비스,0
단기금융증권정보서비스,0
교육기관조회서비스,87
주식정보서비스,0
CCTV 설치정보 조회 서비스,10
증권대차서비스,0
중구 맛집 조회 서비스,13
골목투어 조회 서비스,13
기업정보서비스,0
공연 정보 조회 서비스,17
주차장 정보 조회 서비스,16
금융용어조회서비스,0
전세자금대출 고객특성별 금리정보,0
전세자금대출정보,15
전세자금대출 지역별 만기도래 정보 조회,16
고성군 문화재 정보,18
공룡백과사전,32
고성군 숙박정보,16
청양문화관광,0
경남고성군 문화관광,18
고성군 기업체 기본정보,15
고성군 음식점 정보,18
청소년 활동정보 자원봉사프로그램 서비스,0
청양주요통계,0
해운대구 관내 복지관 프로그램 정보 조회 서,0
창업넷 콘텐츠 조회 서비스,18
해운대구 신착도서현황 조회 서비스,0
기술은행 기부/나눔 기술정보 DB 서비스,0
해운대구 착한가격 업소 정보 조회 서비스,0
해운대구 CCTV 정보 조회 서비스,0
기술은행 등록기술 특허 조회 서비스,28
기술은행 수요기술 조회 서비스,29
기술시장정보 및 부가정보 DB 서비스,83
기술은행 기술정보 DB 서비스,0
착한업소정보 조회 서비스,50
하수처리현황,23
소각처리현황,21
해운대구 공중화장실 조회 서비스,0
도내물가정보 조회 서비스,38
해운대구 교육.보육기관 정보조회 서비스,0
모범음식점정보 조회 서비스,48
제주교래자연휴양림 실시간 예약확인 서비스,6
해운대구 체육시설 정보 조회 서비스,0
해운대구 공원 정보 조회 서비스,0
심야약국정보 조회 목록 서비스,47
제주도 전시 문화 행사 일정,0
해운대구 사회복지시설 정보조회 서비스,7
해운대구 주차장 정보 조회 서비스,0
해운대구 관광지정보 조회 서비스,5
물질안전보건자료,0
해운대구 모범음식점 정보 조회 서비스,21
해운대구 행정기관 정보 조회 서비스,0
해운대구 맛집거리 조회 서비스,0
해운대구 도서관정보 조회 서비스,0
해운대구 숙박업소 정보 조회 서비스,0
해운대구 의료기관/약국 정보조회 서비스,0
해운대구 쇼핑상점 정보 조회 서비스,9
해운대구 수질검사결과 정보조회 서비스,0
고속도로 휴게소 기준정보 현황,7
휴게소 편의시설 현황 조회 서비스,18
휴게소 편의시설 현황,42
휴게소 브랜드 매장현황 조회 서비스,18
휴게소 이벤트 현황 조회 서비스,17
휴게소 푸드메뉴현황 조회 서비스,24
테마휴게소 현황 조회 서비스,15
LCS운영구간 교통량,19
고속도로 차로제어 시스템 정보,13
RMS 운영이력,14
LCS 운영이력,15
LCS 시행 유무(콘존단위),28
RMS진입로 신호조절 현황,17
알뜰(LPG) 주유소 현황,31
휴게소별 대표음식 현황,18
지적 재산권 현황,17
톨게이트간 통행시간 정보,19
실시간 영업소간 통행시간,26
도시간 소요시간,21
통행속도별 교통량,15
영업소간 교통량 정보 현황,30
통행거리별 교통량,13
톨게이트 목록 현황,18
영업소 위치정보,13
톨게이트 입/출구 교통량,29
문자정보 제공이력,18
안전주행 컨텐츠 정보,32
"주유소별 가격,업체 현황",10
영업소 진입조절 시행여부 현황,37
영업소 진입조절 본선현황,17
영업소 진입조절 영업소현황,15
노선별 방향별 일별 15분 구간교통량,20
실시간 영업소간 교통량 조회 서비스,17
실시간 영업소별 교통량  API 서비스,22
UNV 공석정보,17
분야별 공석정보,17
기구별 공석정보,17
코드정보(기구별/분야별) 조회,0
JPO 공석정보,17
최근 공석정보,16
인턴십 공석정보,17
공고문 조회,0
버스전용차로 구간 소통정보 및 이용률,16
버스전용차로  구간통행속도,41
좌표기반 RMS 시행유무 조회,9
버스전용차로 시행여부 현황(콘존단위),0
버스전용차로 운영이력,0
VMS 표출내용 현황,25
VMS 본부별 목록 현황,16
현재 교통예보 현황,29
자립형일자리 사업모집공고,77
자립형일자리 코드 정보,12
자립형일자리 수행기관,16
문화유산 기록정보자원,61
강원도 여행길잡이,5
디딤돌대출금리정보,16
검진기관 찾기 서비스,0
검진기관별 정보제공 서비스,0
약국정보서비스,16
특수진료병원정보서비스,126
질병정보서비스,57
적격대출금리정보,14
국가건강검진기관정보 코드조회 서비스,0
병원코드정보서비스,48
병원정보서비스,14
의료기관별상세정보서비스,69
비급여진료비정보서비스,12
진료행위정보서비스,31
정보서비스안내,33
거래업체정보,52
거래물품정보,40
수출예정정보,63
내국거래 실적정보,78
대학경쟁력알림 서비스,140
대학공시정보 대학비교통계 서비스,295
대학공시정보 지역별 통계 서비스,418
대학공시정보 코드조회,77
후원관리정보,0
자원정보조회,0
사회복지시설정보,15
부산 영화 정보서비스,44
부산 문화/공연/전시 정보서비스,160
체험마을 체험쇼핑,0
부산 역사정보,69
스토리텔링 원형정보 서비스,3
공공조형물 정보 서비스,6
부산 관광가이드 상담사례 정보 서비스,15
부산 문화관광정보,178
부산 갈맷길 코스 정보 서비스,27
"체험마을 시설, 캠핑, 동영상 및 후기",0
농어촌체험마을,0
체험마을 체험프로그램,0
체험마을 먹거리,1
체험마을 잠잘거리,0
체험마을 즐길거리,0
수출입총괄 서비스,0
해안선통계 정보 서비스,12
연안정지관측정보,16
정선해양관측정보,30
실시간어장정보,20
해양생물종정보,7
적조정보,28
위성해양영상정보,17
해파리정보,13
농기계안전정보 서비스,28
격자별 단계정보,0
군수품조달정보 조달계획서비스,31
군수품조달정보 입찰결과서비스,0
군수품조달정보 계약정보서비스,0
군수품조달정보 코드조회서비스,0
국가농작물품목별병해충도감정보서비스,0
군수품조달정보 입찰공고서비스,77
농업농촌종합정보(인테러뱅) 서비스,42
작물영향진단 서비스,41
일반판매기술 정보서비스,192
출원시 이전 희망기술 조회서비스,54
국유판매기술 조회서비스,137
기관보유기술 조회서비스,24
상표 정보 검색 서비스,0
심판 정보 검색 서비스,0
특허패밀리정보 검색 서비스,0
특허실용신안 정보 검색 서비스,162
디자인 정보 검색 서비스,164
과제정보서비스,42
과제상세정보서비스,2
한양방병증매핑정보 서비스,1
병증정보 서비스,8
용어사전정보 서비스,0
전통공예정보 서비스,6
화합물정보 서비스,6
논문정보 서비스,39
약재정보 서비스,27
전통식품정보 서비스,6
고용/산재보험 현황정보,17
근로복지지원현황,0
숙박정보 조회 서비스,19
지가지수 조회 서비스,8
전국지가변동률조사 통계조회 서비스,0
화재 현황 정보 서비스,0
제주시 축제/행사,17
청소년수련관 프로그램정보,17
평생학습센터 강사정보 조회,18
평생학습센터 평생교육기관정보,16
제주시 교육강좌 정보,14
평생학습센터 평생교육소식정보,14
연안자료제공 서비스,6
상업용부동산 임대동향 조사 통계조회서비스,0
전국주택가격동향조사 통계 조회 서비스,121
월세가격지수 조회 서비스,0
월세가격동향조사 통계 조회 서비스,67
영도구 CCTV 현황,2
제대군인 군특기 정보,0
석탄회발생관리조회 서비스,8
강진 고려청자 도면 리스트,0
강진고려청자 list,0
강진 고려청자 이미지 리스트,0
산업재산권관리 서비스,8
종합폐수처리량관리 서비스,11
오산시 공중화장실 현황 조회,0
오산시 맛집정보 OPEN API,39
오산시 제세동기현황,8
오산시 병의원 현황 조회,10
오산시 약국현황 조회,9
오산시 방범용 CCTV현황 OPEN API,0
연료사용량 조회 서비스,20
둘레길 정보 조회,7
백두대간 등산로 정보 조회,9
입찰정보조회 서비스,19
등산로 위치 정보 조회,0
안산시 교통소통정보 조회 서비스,38
공사감독정보 조회 서비스,16
옹벽정보 조회 서비스,16
방음벽정보 조회 서비스,13
어린이대공원행사정보 조회 서비스,12
월드컵주경기장 사용정보 조회 서비스,13
서울월드컵경기장 현황정보 조회 서비스,16
월드컵보조경기장 사용정보 조회 서비스,13
월드컵경기장 부속시설물 사용정보 조회 서,13
도로위치인식표지 정보 조회 서비스,26
온실가스배출량 조회 서비스,16
에너지사용량 조회 서비스,16
입찰공고결과조회서비스,0
어린이대공원 입장객 현황정보 조회 서비스,13
한국남동발전 건설기술스펙 다운로드 서비스,11
경상남도 의령군 개별공시지가 API,41
광산구 개별공시자가 정보 조회,16
해양환경측정망 API,6
해양수질자동측정망 API,8
기상관측정보 조회서비스,42
종목별 자격정보 조회,8
종목 목록 조회,10
국가전문자격 시험 시행일정 조회 서비스,8
국가기술자격 종목별 시험 일정정보,0
안동시 개별공시지가 조회,0
토지거래현황 조회 서비스,8
부동산 거래 통계조회 서비스,0
아파트거래현황 조회 서비스,8
담보가치 정보조회 서비스,8
녹색건축 인증현황 조회 서비스,9
아파트실거래가격지수 조회 서비스,8
실거래가격지수 통계 조회 서비스,19
KOTRA 해외전시장 정보 조회 서비스,0
KOTRA 해외전시회 정보 조회 서비스,0
KOTRA 전시사업자 정보 조회 서비스,0
강북구 스포츠센터 시설 이용현황,14
자전거사고다발지역정보서비스,18
보행노인사고다발지역정보서비스,32
스쿨존어린이사고다발지역정보서비스,21
보행자무단횡단사고다발지역정보서비스,32
보행어린이사고다발지역정보서비스,21
사망교통사고정보서비스,44
한국특허영문초록-일반 검색(REST),0
한국특허영문초록-서지(REST),0
한국특허영문초록-도면(REST),0
한국특허영문초록-항목별 검색(REST),0
해외특허 공보-유틸리티(REST),0
해외특허 공보-서지(REST),0
해외특허 공보-일반 검색(REST),0
해외특허 공보-도면/전문(REST),0
해외특허 공보-항목별 검색(REST),0
"특허/실용신안 분류코드 이력정보-IPC,CPC(SOAP)",0
워크넷 사용자 학과정보,0
기자재유자격품목조회 서비스,7
탈황석고처리관리 서비스,7
입찰공고정보조회 서비스,31
보훈병원 비급여 수가 정보,20
채용정보,7
입찰정보,7
자재입찰정보,26
공사입찰정보,34
인천항 물동량 처리 실적 정보,147
입찰공고현황 조회서비스,12
발전기별 판매량 및 설비용량 조회서비스,7
신재생에너지 사업현황 조회서비스,5
황 조회서비스,5
