파일명,필드수
15-0331.제주첨단과학기술단지+15년+3월+입주기업+현황+정보,10
15-0430.+제주첨단과학기술단지+'15년+4월+업종별+입주+현황+정보,6
15-0430.제주첨단과학기술단지+15년+4월+입주기업+현황+정보,10
15-0531.+제주첨단과학기술단지+'15년+5월+업종별+입주+현황+정보,6
15-0531.+제주첨단과학기술단지+15년+5월+입주기업+현황+정보,10
15-0731_제주첨단과학기술단지+'15년+07월+입주기업+현황+정보,11
15-0831_제주첨단과학기술단지+'15년+08월+입주기업+현황+정보,9
15-1.사학연금_소급통산+및+사병복무기간산입+현황_2105,4
15-1.산사태취약지역지정현황(2014.3),11
15-1031_제주첨단과학기술단지+'15년+10월+입주기업+현황+정보,10
15-1130_제주첨단과학기술단지+'15년+11월+입주기업+현황+정보,10
15-1221_제주첨단과학기술단지+'15년+12월+업종별+입주+현황+정보,6
15-1221_제주첨단과학기술단지+'15년+12월+용지별+분양+현황+정보,5
15-1221_제주첨단과학기술단지+'15년+12월+입주기업+현황+정보,10
15-3.산사태취약지역지정현황(2014.11월),9
15.(보금자리론)_대출기간별_대출금액_및_잔액_현황,6
15.+외국인+성별+수용자+인원,5
15.+용도지구,6
15.10월+외환사범,5
15.11월+외환사범,5
15.12월+외환사범,5
15.1월+외환사범,5
15.2월+외환사범,5
15.2월_먹는물공동시설_수질검사_결과,19
15.3월+외환사범,5
15.4월+외환사범,5
15.4월_먹는물공동시설_수질검사_결과,19
15.5월+외환사범,5
15.5월_먹는물공동시설_수질검사_결과(전항목),53
15.6월+외환사범,5
15.6월_먹는물공동시설_수질검사_결과,19
15.7월+외환사범,5
15.8월+외환사범,5
15.9월+외환사범,5
15.여성수형자연령별인원,9
"15.제주헬스케어타운+조성사업+시설계획(용도,+면적+등)+상세내역(16.4)",12
150630_제주첨단과학기술단지+'15년+6월+업종별+입주+현황+정보,4
150930_제주첨단과학기술단지+'15년+9월+업종별+입주+현황+정보,6
151027+인천교통공사+역간+소요시간+및+영업거리,29
151027+인천교통공사+역명+외국어+표기(2015년9월말+기준),3
151027+인천교통공사+역사별+면적(2015년09월말+기준),3
151027+인천교통공사+와이파이(KT)설치현황(2015년09월말),6
151027+인천교통공사+와이파이(LGU+)설치현황(2015년09월말),6
151027+인천교통공사+와이파이(SKT)설치현황(2015.09월말),6
151027+인천교통공사+임대점포계약현황(15년10월20일기준),6
151027+인천교통공사+편의시설계약현황(15년10월20일기준),6
151117-시민정보화교육장+정보-공공데이터-1,6
151130_전대금융_한도설정현황표_게시_암호화해제,5
15_한국도로공사_영업소+시간대별+교통량_개방식(20151101집계기준),12
15년도+울진군+병의원+및+요양병원+현황,7
16+(201503)+주택유형별+대출금액+및+잔액+현황,6
16+보금자리론+주택유형별+대출금액+및+잔액+현황,10
16-3.정기_물가조사표(부여군_2015년_2월하순),7
16.+6월말+기준+_로컬푸드+직매장+현황,11
16.+개발제한구역,4
16.+외국인죄명별+수형자인원,9
16.04.30기준+소장자료리스트(장유도서관),6
16.10월+신규+퇴직공제+가입사업장+정보,7
16.11월+신규+퇴직공제+가입사업장+정보,8
16.1월+신규+퇴직공제+가입사업장+정보,7
16.2월+신규+퇴직공제+가입사업장+정보,7
16.3월+신규+퇴직공제+가입사업장+정보,7
16.4월+신규+퇴직공제+가입사업장+정보,7
16.5월+신규+퇴직공제+가입사업장+정보,7
16.6월+신규+퇴직공제+가입사업장+정보,7
16.7월+외환사범,5
16.여성수용자임산부및양육인원,7
160116+전국경비업체+현황,3
160131_전대금융_한도설정현황표_게시_csv_3_암호화해제,5
160229_전대금융_한도설정현황표_게시_csv_3_암호화해제,5
160519_2016년+3월~4월+피해구제사건+목록,7
160523기준_지역난방_열원분야_연구개발목록,9
160523기준_지역난방_특허권보유통계,6
160524_+지역자활센터,13
160524_2016년+성인문해교육+지원사업+기관+현황_v1,7
160525+시내버스+정류소별+이용객수(2015.1월~12월),11
160526+수성구+관광숙박업+현황,4
160526+수성구+유원시설업+현황,4
160526+수성구외국인도시민박업현황,4
160621+속초시+특산품+현황(공공데이터),8
160711_2016년+5월~6월+피해구제사건+목록,7
1611기준_연료별_연료도입+실적,6
161205+공공데이터등록(노인복지시설현황)-수정,6
16_한국도로공사_주요구간+연도별+차종별+영업소교통량_2010년~2014년(20151101집계기준),8
16년+10월+유통검사실적,10
16년+11월+역별+일별+시간대별+승하차인원,24
16년+상반기+외래환자수+현황,5
16년+상반기+입원환자수+현황,5
16년+상반기+진료비청구+현황,10
16년01월기준_열요금정보,11
16년05월기준_열요금정보,11
16년07월기준_열요금정보,11
17+(201503)+연령구간별+대출금액+및+잔액+현황,11
17+(201607)보금자리론+연령구간별+대출금액+및+잔액+현황,18
17+보금자리론+연령구간별+대출금액+및+잔액+현황,18
17-2.기업체현황(2015.1월),7
17.+외국인수형자형명형기별인원,13
17.외국인국적별인원,10
17_한국도로공사_공휴일+이용차량_2014년(20151101집계기준),12
18+(201503)+소득수준별+대출금액+및+잔액+현황,11
18+보금자리론+소득수준별+대출금액+및+잔액+현황,18
18+인구+및+세대현황(201402),6
18-2.휴게음식점현황(2015.4월),4
18.+영업판매정보+통계(11년~13년),10
18.+하천,5
18.외국인성별인원,4
19+(201503)+자금용도별+대출금액+및+잔액+현황,5
19+(201607)보금자리론+자금용도별+대출금액+및+잔액+현황,8
19+농기계+임대기기+현황,7
19+보금자리론+자금용도별+대출금액+및+잔액+현황,8
19+전천후+게이트볼장+설치현황,8
19.+하천부지점용,5
19.외국인죄명별인원,10
19.중소기업+수출판로+지원정보(14~16),4
19_한국도로공사_통행료+수입+현황_2010년~2014년(20151101집계기준),7
1당사자_연령층별_월별_교통사고,3
1당사자_음주정도별_주야별_교통사고,4
1당사자_차종별_월별_교통사고,3
1분기_자금운용현황(1),3
1일_1인당_오수_발생량_20160524153822,4
2)도시공원정보(대전+동구+2014년+10월),18
2+(201503)MBS+발행실적,6
2+(201608)MBS+발행실적,6
2+MBS+발행실적,6
2-1+2015년+시민정보화교육+세부일정(전체),12
2-2.퇴직교직원지원센터(2016),5
2.+2013년+역별+혼잡도(일요일+상선),23
2.+2013년+역별+혼잡도(토요일+상선),23
2.+2013년+역별+혼잡도(토요일+하선),23
2.+2013년+역별+혼잡도(평일+상선),23
2.+2013년+역별+혼잡도(평일+하선),23
2.+교정시설+인구대비+수용인원,6
2.+수용자전화사용현황,11
2.교정시설1일평균인원,4
2.국적+및+체류자격별+단기+체류외국인+현황(2010년),37
2.수용자서신수발신현황,3
2.열차+운행현황,7
2.읍면동+공공와이파이+구축현황(2014.+4월+현재),6
2.지역발전정책용어사전,4
20+(201503)+신탁pool별+현황,10
20+신탁자산+신탁pool별+현황,9
20+특산품+판매업체현황,4
20.외국인형명형기별인원,10
2000년+1월~2016년+3월+월별+지가지수,156
2000년~2015년+연도별+지가지수,17
2000년~2016년+연도별+지가변동률,17
2004-2016_지식재산+이러닝+콘텐츠+목록,6
2004년1월기준+개별공시지가+결정지가,5
2005년+1월+1일+기준+개별공시지가,6
2005년1월기준+개별공시지가+결정지가,5
2005년1월기준+의정부시+공시지가,5
2006년+1월+1일+기준+개별공시지가,6
