필드명	행정표준용어	매칭결과
	전투	
	전투경찰	
	전파	
	전파세	
	전파환경	
	전폭	
	전표	
	전호	
	전화	
	전화국	
	전화권유판매	
	전화권유판매자	
	전화기	
	전화번호	
	전화세	
	전환	
	전환기	
	전환복무	
	전환사채	
	전환일	
	전환주식	
	전회	
	전후	
	절	
	절감	
	절개	
	절개지	
	절단	
	절단기	
	절대	
	절도	
	절반	
	절사	
	절삭가공	
	절상	
	절약	
	절연재	
	절전	
	절주	
	절차	
	점	
	점검	
	점검자	
	점성도	
	점수	
	점심	
	점오염원	
	점용	
	점용인	
	점유	
	점유권	
	점유주파수대폭	
	점자	
	점퍼	
	점포	
	접견	
	접경지역	
	접골사	
	접근	
	접대	
	접대비	
	접대자	
	접두어	
	접미사	
	접미어	
	접속	
	접속자	
	접수	
	접수대	
	접수자	
	접수처	
	접안	
	접점	
	접종	
	접지	
	접지부분	
	접촉	
	접촉자	
	정	
	정가	
	정거장	
	정격	
	정격전압	
	정관	
	정관변경	
	정교수	
	정규	
	정규직	
	정근	
	정글짐	
	정급	
	정기	
	정기간행물	
	정기간행물사업자	
	정기권	
	정기금채권	
	정기선	
	정년	
	정담	
	정답	
	정당	
	정당선거사무소	
	정당성	
	정도	
	정량	
	정량지표	
	정련	
	정렬	
	정례	
	정류	
	정류소	
	정리	
	정리함	
	정리해고	
	정리해산	
	정립	
	정맥	
	정맥압	
	정무	
	정무직	
	정밀	
	정밀도	
	정밀안전검진	
	정밀안전진단	
	정박	
	정박지	
	정범	
	정보	
	정보격차	
	정보공개서	
	정보기기	
	정보기술	
	정보기술협정	
	정보망	
	정보보호	
	정보보호산업	
	정보분석반	
	정보수사기관	
	정보외환계	
	정보자원	
	정보처리시스템	
	정보통신	
	정보통신공사	
	정보통신공사업	
	정보통신공사업자	
	정보통신기기	
	정보통신기반시설	
	정보통신기술자	
	정보통신망	
	정보통신부	
	정보통신산업	
	정보통신서비스	
	정보통신서비스제공자	
	정보통신설비	
	정보화	
	정보화전략계획	
	정복교도관	
	정본	
	정부	
	정부개발원조	
	정부관리양곡	
	정부기관	
	정부비축물품	
	정부산하기관	
	정부조달	
	정부출연연구기관	
	정부출자기업체	
	정비	
	정비실	
	정비자	
	정산	
	정산원가	
	정산일	
	정상	
	정상가격	
	정상운전	
	정서	
	정성지표	
	정세	
	정수	
	정수	
	정수기	
	정수장	
	정시	
	정식	
	정식통관절차	
	정신	
	정신병	
	정신보건시설	
	정신요양시설	
	정신의료기관	
	정신질환자	
	정압	
	정압실	
	정액	
	정액제	
	정액환급율표	
	정양	
	정오	
	정원	
	정원	
	정원감축	
	정유	
	정육면체	
	정의	
	정의서	
	정자	
	정적	
	정전	
	정정	
	정정전	
	정정후	
	정제	
	정조의무	
	정주	
	정지	
	정지궤도위성	
	정차	
	정착	
	정착	
	정찰	
	정책	
	정책고객서비스	
	정책공동체	
	정책관리시스템	
	정책목표	
	정책분야	
	정책영역	
	정책자금	
	정책평가	
	정책품질관리	
	정체	
	정체성	
	정치	
	정치자금	
	정통부	
	정품	
	정합	
	정화	
	정화조	
	정확도	
	정회원	
	정훈	
	젖소	
	제1국민역	
	제2국민역	
	제2차납세의무자	
	제3국	
	제3자	
	제거	
	제고	
	제곱	
	제공	
	제공자	
	제기	
	제기자	
	제당	
	제대	
	제대군인	
	제도	
	제동	
	제례	
	제명	
	제목	
	제반	
	제방	
	제보	
	제보자	
	제복	
	제본	
	제설	
	제세공과금	
	제세금	
	제세동	
	제세충당	
	제소	
	제소명령	
	제수	
	제시	
	제시기일	
	제시자	
	제안	
	제안서	
	제안요청서	
	제안자	
	제약	
	제어	
	제어기	
	제언	
	제외	
	제외신고	
	제원	
	제일	
	제작	
	제작물	
	제작사	
	제작자	
	제재	
	제적	
	제정	
	제제	
	제조	
	제조간접비	
	제조물	
	제조물책임	
	제조사	
	제조상결함	
	제조소	
	제조업	
	제조업자	
	제조업자생산설계	
	제조업체	
	제조원가	
	제조위탁	
	제조자	
	제조장	
	제조장소	
	제주	
	제주국제자유도시개발센터	
	제주국제자유도시특별법	
	제주도	
	제주도남제주군	
	제주도북제주군	
	제주도서귀포시	
	제주도제주시	
	제증명	
	제지	
	제척	
	제척기간	
	제청	
	제초제	
	제출	
	제출자	
	제표	
	제품	
	제품과세	
	제품수불대장	
	제한	
	제한구역	
	제한물권	
	제한선거	
	제한세율	
	제한시계	
	제한채권	
	제휴	
	조	
	조각	
	조건	
	조건부	
	조경	
	조광권	
	조광권자	
	조교	
	조교사	
	조교수	
	조기	
	조난	
	조난물품	
	조난사고	
	조달	
	조달물자	
	조달청	
	조력자	
	조례	
	조류	
	조류	
	조류	
	조리사	
	조림	
	조립	
	조명	
	조문	
	조문	
	조문구성	
	조밀	
	조부모	
	조사	
	조사1관	
	조사2관	
	조사감시국	
	조사국	
	조사서	
	조사실	
	조사실시기관	
	조사심사과	
	조사심사과장	
	조사요원	
	조사원	
	조사자	
	조사정보분석	
	조사총괄계	
	조사총괄과장	
	조산	
	조산사	
	조산원	
	조생종	
	조서	
	조석	
	조선	
	조선산업	
	조선업자	
	조성	
	조성계획	
	조세	
	조세범	
	조세범죄	
	조세조약	
	조세특례	
	조수	
	조약	
	조약국	
	조약안	
	조언	
	조업	
	조인	
	조작	
	조작	
	조작자	
	조장	
	조적	
	조절	
	조정	
	조정자	
	조정지	
	조제	
	조종	
	조종사	
	조직	
	조직개발	
	조직관리	
	조직기증자	
	조직도	
	조직은행	
	조직이식	
	조차장	
	조출료	
	조치	
	조치자	
	조퇴	
	조합	
	조합	
	조합원	
	조항	
	조향장치	
	조형물	
	조화	
	조회	
	조회수	
	조회자	
	족흔적	
	존립	
	존속	
	존재	
	존치	
	존폐	
	졸업	
	졸업생	
	졸업예정자	
	졸업자	
	종	
	종가	
	종가세	
	종결	
	종결구분	
	종관	
	종교	
	종국	
	종국등기	
	종국판결	
	종근	
	종단	
	종량세	
	종료	
	종료일	
	종료자	
	종류	
	종류명	
	종류채권	
	종말처리시설	
	종목	
	종묘	
	종무	
	종범	
	종별	
	종사	
	종사자	
	종속	
	종양	
	종업원	
	종업원급여총액	
	종업원지주제도	
	종이	
	종일	
	종자	
	종자관리사	
	종자산업	
	종자업	
	종자업자	
	종점	
	종중	
	종축	
	종축업	
	종합	
	종합간이보세운송업자	
	종합감사	
	종합계획	
	종합과세	
	종합금융회사	
	종합보세구역	
	종합보세사업장	
	종합부동산세	
	종합인증우수업체	
	종합주가지수	
	종합토지세	
	종횡	
	좌	
	좌석	
	좌안	
	좌우	
	좌익	
	좌초	
	좌측	
	좌표	
	좌표계	
	죄명	
	주	
	주40시간근로제	
	주40시간제도	
	주5일	
	주5일근무제	
	주가	
	주간	
	주간선도로	
	주거	
	주거래	
	주거용건축물	
	주거용특정건축물	
	주거지	
	주거지관할검사	
	주거침입죄	
	주계약자	
	주관	
	주관기관	
	주관식	
	주관자	
	주권	
	주권비상장법인	
	주기	
	주기관추진력	
	주당순이익	
	주등기	
	주량	
	주력	
	주류	
	주류규격	
	주류면세통관카드	
	주류수입면허	
	주말	
	주무	
	주문	
	주문자	
	주문자상표부착	
	주민	
	주민공동시설	
	주민등록	
	주민등록번호	
	주민등록증	
	주민등록표ID	
	주민등록표원장조회시스템	
	주민번호	
	주민세	
	주민운동시설	
	주민지문가치번호	
	주변	
	주부	
	주사	
	주사	
	주사용	
	주상	
	주생산지	
	주석	
	주선	
	주세	
	주소	
	주소록	
	주소번지	
	주소지	
	주식	
	주식공유	
	주식교환	
	주식납입	
	주식매수청구권	
	주식배당	
	주식배정	
	주식병합	
	주식상호보유	
	주식소각	
	주식양도	
	주식옵션	
	주식인수	
	주식청약	
	주식회사	
	주야	
	주어	
	주요	
	주요개조	
	주요물품통관내역서	
	주요사업비	
	주위	
	주유	
	주유소	
	주의	
	주의보	
	주의사항	
	주인	
	주입	
	주입기	
	주자	
	주장	
	주점	
	주정차	
	주제	
	주제어	
	주조연도	
	주종	
	주주	
	주주명부	
	주주사	
	주주총회	
	주중	
	주지	
	주지번	
	주차	
	주차구획	
	주차단위구획	
	주차장	
	주차전용건축물	
	주채권은행	
	주철	
	주체	
	주총	
	주최	
	주최자	
	주출입구	
	주치의	
	주택	
	주택가	
	주택건설지역	
	주택공급면적	
	주택내	
	주택사업자	
	주택자금	
	주택저당증권	
	주택저당채권	
	주택저당채권담보부채권	
	주택저당채권유동화회사	
	주파수	
	주파수분배	
	주파수지정	
	주파수할당	
	주파수허용편차	
	주한미군	
	주한미군시설사업	
	주한미군시설사업시행자	
	주한미군지위협정	
	주행	
	주화	
	준공	
	준농어촌	
	준법정신	
	준비	
	준비금	
	준비단계	
	준비서면	
	준상행위	
	준설	
	준소비대차	
	준수	
	준용	
	준이사물품	
	준이사자	
	준항고	
	준회원	
	줄기세포	
	줄눈	
	줌렌즈	
	중	
	중가산금	
	중간	
	중간배당	
	중간생략등기	
	중간용기	
	중간재	
	중간판결	
	중개	
	중개료	
	중개수수료	
	중개업	
	중개업자	
	중개인	
	중계	
	중계국	
	중계기	
	중계무역	
	중계선	
	중계회선	
	중고	
	중고물품	
	중과	
	중과세	
	중과실	
	중구	
	중국	
	중국강제인증제도	
	중국어	
	중국횡단철도	
	중금속	
	중기	
	중기능	
	중남미	
	중단	
	중대	
	중대재해	
	중도	
	중도금	
	중도매인	
	중독	
	중독	
	중독자	
	중등	
	중등교육	
	중등학교	
	중량	
	중류	
	중립	
	중문	
	중미	
	중복	
	중복보험	
	중부	
	중분류	
	중상	
	중상자	
	중세사	
	중소	
	중소기업	
	중소기업상담회사	
	중소기업자	
	중소기업자단체	
	중소기업자동화	
	중소기업정보화	
	중소기업창업투자조합	
	중소기업창업투자회사	
	중소기업청	
	중소기업체	
	중소기업특별위원회	
	중소기업협동조합	
	중수도	
	중심	
	중앙	
	중앙119구조대	
	중앙노동위원회	
	중앙도매시장	
	중앙분리대	
	중앙선	
	중앙선거관리위원회	
	중앙인사위원회	
	중앙인사정책지원시스템	
	중역	
	중요	
	중요도	
	중요성	
	중용	
	중위	
	중장기	
	중장비	
	중재	
	중재인	
	중재판정부	
	중재합의	
	중저준위방사성폐기물	
	중점	
	중증	
	중증장애인	
	중지	
	중징계	
	중추신경	
	중층운	
	중파	
	중파방송	
	중풍	
	중학교	
	중학생	
	중형주	
	중혼	
	즉결심판	
	즉결심판절차	
	즉납	
	즉시	
	즉시고발	
	즉시반출신고	
	즉시반출업체	
	즉시반출업체지정신청	
	즉시항고	
	즐겨찾기	
	증가	
	증감	
	증거	
	증거금	
	증거물	
	증거보전	
	증권	
	증권거래세	
	증권관계기관	
	증권관련집단소송	
	증권사	
	증권업	
	증권회사	
	증기	
	증대	
	증량	
	증류주	
	증명	
	증명서	
	증발	
	증빙	
	증상	
	증서	
	증설	
	증세	
	증식	
	증액	
	증언	
	증언거부권	
	증여	
	증여세	
	증원	
	증인	
	증인신문	
	증자	
	증진	
	증축	
	증폭	
	증폭기	
	증표	
	증후증	
	지	
	지가	
	지각	
	지게차	
	지구	
	지구	
	지구국	
	지구단위계획	
	지구대	
	지급	
	지급도조건	
	지급보증	
	지급보증대리점	
	지급수단	
	지급수수료	
	지급액	
	지급원인행위	
	지급은행	
	지급인	
	지급일	
	지급자	
	지능	
	지능망	
	지능형교통체계	
	지단	
	지도	
	지도	
	지도경력	
	지도서	
	지도층	
	지령	
	지로	
	지뢰	
	지류	
	지름	
	지리	
	지리적	
	지리적표시	
	지리적표시단체표장	
	지리정보	
	지리정보유통망	
	지리정보체계	
	지리학	
	지면	
	지명	
	지명경쟁입찰	
	지명수배	
	지명수배자	
	지명수배자명단	
	지명채권	
	지목	
	지문	
	지물	
	지반	
	지방	
	지방교부세	
	지방교육행정기관	
	지방도로관리청	
	지방도매시장	
	지방문화원	
	지방분권	
	지방상수도	
	지방세	
	지방은행지주회사	
	지방자치단체출연연구원	
	지방재정	
	지방지역	
	지방채	
	지방항만	
	지방행정기관	
	지배	
	지배권	
	지배주주	
	지번	
	지병	
	지분	
	지분권	
	지분양도	
	지불	
	지불금	
	지불자	
	지붕	
	지사	
	지상	
	지상	
	지상권	
	지서	
	지선	
	지세	
	지소	
	지속	
	지속성	
	지수	
	지수	
	지수평활	
	지시	
	지시서	
	지시자	
	지시채권	
	지식	
	지식관리담당임원	
	지식관리시스템	
	지식기반산업	
	지식산업	
	지식실행공동체	
	지식정보자원	
	지역	
	지역개발세	
	지역교육청	
	지역권	
	지역세관별선별기준	
	지역신문	
	지역전략산업	
	지역정보연락사무소	
	지역조합	
	지역특화발전특구	
	지역특화발전특구계획	
	지역혁신	
	지역혁신체계	
	지연	
	지연이자	
	지열	
	지원	
	지원금	
	지원기관	
	지원시설	
	지원업체	
	지원절차	
	지원조치	
	지원항공작전기지	
	지위	
	지인	
	지자체	
	지장	
	지적	
	지적공부	
	지적재산권	
	지적측량성과	
	지점	
	지점	
	지점장	
	지정	
	지정가	
	지정검사	
	지정교육기관	
	지정면세점	
	지정문화재	
	지정보세구역	
	지정사업자	
	지정서	
	지정수량	
	지정악취물질	
	지정업체	
	지정일	
	지정자	
	지정장치장	
	지정전염병	
	지정주파수	
	지정통계	
	지정폐기물	
	지정항만	
	지정행정기관	
	지주	
	지주회사	
	지진	
	지질	
	지청	
	지체상금	
	지출	
	지출원	
	지출원인행위	
	지층	
	지침	
	지표	
	지표	
	지하	
	지하광장	
	지하도	
	지하도상가	
	지하도출입시설	
	지하수	
	지하수개발이용시공업	
	지하수보전구역	
	지하수영향조사	
	지하수정화업	
	지하철	
	지형	
	지휘	
	지휘관	
	지휘소	
	지휘자	
	직결	
	직경	
	직계	
	직계비속	
	직계존속	
	직군	
	직권	
	직권정정	
	직급	
	직능	
	직능단체	
	직능인	
	직렬	
	직류	
	직류	
	직립	
	직매	
	직무	
	직무관련공무원	
	직무관련자	
	직무등급	
	직무명령	
	직무발명	
	직무분석	
	직무설계	
	직무유기죄	
	직물	
	직배	
	직불카드	
	직불카드회원	
	직선	
	직속	
	직속기관	
	직업	
	직업교육훈련	
	직업교육훈련교원	
	직업교육훈련기관	
	직업교육훈련생	
	직업능력개발사업	
	직업능력개발훈련	
	직업능력개발훈련시설	
	직업소개	
	직업안정기관	
	직업안정법	
	직업용품	
	직업지도	
	직업훈련과정	
	직영	
	직원	
	직위	
	직위공모	
	직인	
	직장	
	직장훈련	
	직전	
	직접	
	직접밀수	
	직접비	
	직접세	
	직접운송원칙	
	직접지급	
	직제	
	직종	
	직책	
	직통	
	직할	
	직할대	
	직할부대	
	직할시	
	진개	
	진공	
	진균	
	진급	
	진단	
	진단용방사선발생장치	
	진단자	
	진도	
	진도	
	진도개	
	진동	
	진동작업	
	진로	
	진료	
	진료비	
	진료소	
	진료원	
	진보	
	진상	
	진술	
	진술거부권	
	진술자	
	진압	
	진열	
	진위	
	진입	
	진입도로	
	진입로	
	진작	
	진전	
	진정	
	진정	
	진정상품	
	진정서	
	진중	
	진찰	
	진척	
	진출	
	진폐	
	진폐증	
	진학	
	진행	
	진행지시신호	
	진행평가	
	진화	
	진흥	
	질	
	질권	
	질권자	
	질량	
	질문	
	질병	
	질산에스테르	
	질서	
	질서유지선	
	질서유지인	
	질소	
	질소산화물	
	질의	
	질의어	
	질의응답	
	질의자	
	질환	
	집	
	집계	
	집단	
	집단공급시설	
	집단급식소	
	집단선하증권	
	집단에너지	
	집단에너지시설	
	집단주택	
	집단화지역	
	집배송시설	
	집배원	
	집산도로	
	집수정	
	집유	
	집유조합	
	집적	
	집적법	
	집적회로	
	집중	
	집중도	
	집필	
	집필자	
	집합	
	집합건물	
	집합물	
	집합재산	
	집행	
	집행비용	
	집행위임	
	집행유예	
	집행자	
	집회	
	징계	
	징계면직	
	징계처분	
	징발	
	징병	
	징병검사	
	징세	
	징수	
	징수계	
	징수관	
	징수금액의최저한	
	징수유예	
	징수형태	
	징역	
	징집	
	징후	
	짝	
	짝수	
	쪽	
	차	
	차감	
	차고	
	차고지	
	차관	
	차관수입	
	차금	
	차기	
	차단	
	차단기	
	차대번호	
	차도	
	차등	
	차량	
	차량기지	
	차량용품	
	차량중량	
	차량한계	
	차례	
	차로	
	차명	
	차명계좌	
	차변	
	차변표	
	차별	
	차상위	
	차선	
	차손	
	차수	
	차액	
	차양	
	차용	
	차원	
	차월	
	차이	
	차익	
	차익거래	
	차인잔액	
	차임	
	차입	
	차입선	
	차입처	
	차종	
	차주	
	차집	
	차체	
	차폐	
	차환	
	착공	
	착공계	
	착륙	
	착부급	
	착선인도가격	
	착수	
	착수금	
	착신	
	착안	
	착오	
	착용	
	착의	
	착지불수수료	
	찬반	
	찬성	
	참가	
	참가인	
	참가자	
	참고	
	참고인	
	참관	
	참관인	
	참관지	
	참모	
	참모처	
	참배	
	참석	
	참석자	
	참여	
	참여기업	
	참여자	
	참작	
	참전	
	참전유공자	
	참정권	
	참조	
	참조자	
	참조처	
	참조표준	
	창고	
	창고비용	
	창고업	
	창고증권	
	창구	
	창달	
	창당	
	창당	
	창립	
	창문	
	창사	
	창설	
	창업	
	창업보육센터	
	창업일	
	창업자	
	창의	
	창의성	
	창작	
	창출	
	찾기	
	채광	
	채권	
	채권	
	채권	
	채권금융기관	
	채권법	
	채권보유	
	채권양도	
	채권유동화	
	채권은행	
	채권자	
	채권추심업무	
	채권침해	
	채권행위	
	채널	
	채널	
	채무	
	채무면제	
	채무불이행	
	채무승인	
	채무자	
	채석	
	채소	
	채용	
	채용자	
	채점	
	채종	
	채취	
	채택	
	채팅	
	채혈	
	채혈부작용	
	책권정보	
	책무	
	책임	
	책임감리	
	책임보험	
	책임자	
	책자	
	책정	
	챌린지	
	처	
	처리	
	처리과	
	처리기간	
	처리능력	
	처리설비	
	처리일	
	처리자	
	처리장	
	처리정보	
	처리중	
	처리후	
	처마	
	처방	
	처벌	
	처분	
	처분통지	
	처우	
	처음	
	처장	
	천기	
	천막	
	천연	
	천연가스	
	천연가스용기	
	천연기념물	
	천연물	
	천연물과학	
	천연물성분	
	천연물신약	
	천일식기계제법	
	천장	
	천재	
	천재지변	
	천적	
	철	
	철갑	
	철강	
	철거	
	철골	
	철관	
	철근	
	철도	
	철도건설사업	
	철도망	
	철도사고	
	철도사업	
	철도산업	
	철도시설	
	철도시설관리자	
	철도신호	
	철도운수종사자	
	철도운영	
	철도운행장애	
	철도인도조건	
	철도종사자	
	철도차량	
	철도청	
	철수	
	철탑	
	철폐	
	철회	
	첨가	
	첨가물	
	첨단	
	첨단기술기업	
	첨두시	
	첨두포락선전력	
	첨부	
	첨부자	
	첨부파일	
	첩보	
	첫번째	
	첫째	
	첫차	
	청각	
	청결	
	청구	
	청구권	
	청구서	
	청구일	
	청구자	
	청년	
	청력	
	청렴	
	청문	
	청사	
	청산	
	청산인	
	청소	
	청소년	
	청소년단체	
	청소년보호	
	청소년보호위원회	
	청소년복지	
	청소년시설	
	청소년육성	
	청소년지도자	
	청소년폭력	
	청소년활동	
	청소년활동시설	
	청약	
	청약일	
	청약자	
	청원	
	청원경찰	
	청장	
	청정	
	청정생산기술	
	청정에너지	
	청중	
	청취	
	청코드	
	체감	
	체격	
	체결	
	체결자	
	체계	
	체납	
	체납액	
	체납요금	
	체납자	
	체납처분	
	체납처분비	
	체내	
	체당금	
	체력	
	체력장	
	체류	
	체불임금	
	체비지	
	체선료	
	체선일	
	체선할증료	
	체세포	
	체세포복제배아	
	체신관서	
	체신창구업무	
	체약국자동차	
	체온	
	체온계	
	체위	
	체육	
	체육관	
	체육단체	
	체육시설	
	체육시설업	
	체육시설업자	
	체육지도자	
	체인	
	체인사업	
	체적	
	체제	
	체중	
	체질	
	체크	
	체크리스트	
	체크박스	
	체크아웃	
	체크인	
	체크일	
	체포	
	체포영장	
	체험	
	체험단	
	체형	
	체화	
	초	
	초고속	
	초고속정보통신망	
	초과	
	초과근무	
	초과보험	
	초기	
	초기시험	
	초기화	
	초단파	
	초단파방송	
	초등교육	
	초등학교	
	초등학생	
	초록	
	초미세먼지	
	초본	
	초빙	
	초빙교원	
	초상	
	초소	
	초안	
	초음파	
	초일류세관	
	초저온저장탱크	
	초지	
	초지전용	
	초진	
	초청	
	촉매	
	촉진	
	촉탁	
	촉탁자	
	총	
	총감독	
	총건수	
	총경	
	총계	
	총계정원장	
	총과세가격	
	총괄	
	총괄주관기관	
	총괄표제부	
	총구매가격	
	총금액	
	총기	
	총동원	
	총량	
	총면적	
	총무	
	총산	
	총상	
	총수량	
	총액	
	총원	
	총의	
	총장	
	총칙	
	총톤수	
	총판	
	총평	
	총포	
	총포장개수	
	총할	
	총합	
	총허용어획량	
	총회	
	촬영	
	촬영기	
	촬영실	
	최고	
	최고가	
	최근	
	최다	
	최단	
	최대	
	최대수입관세	
	최대적재량	
	최대치	
	최번시	
	최빈국	
	최빈수	
	최상	
	최상위	
	최소	
	최소공정기준	
	최소시장접근	
	최소치	
	최신	
	최심	
	최일류세관	
	최장	
	최저	
	최저생계비	
	최저임금제	
	최적	
	최적관세율	
	최적방지시설	
	최적화	
	최종	
	최초	
	최초수입물품	
	최초예정가격	
	최하	
	최하위	
	최혜국	
	최혜국대우	
	최후	
	추가	
	추가경정예산	
	추가신고	
	추가자	
	추경	
	추계	
	추계	
	추구	
	추모	
	추방	
	추산	
	추상화	
	추서	
	추세	
	추심	
	추심명령	
	추심위임배서	
	추심채무	
	추완	
	추이	
	추인	
	추적	
	추정	
	추정가격	
	추정가액	
	추정금액	
	추정전손	
	추진	
	추징	
	추천	
	추천인	
	추천자	
	추첨	
	추출	
	추행	
	추후	
	축	
	축구	
	축구장	
	축대	
	축사	
	축산	
	축산단체	
	축산물	
	축산업	
	축산업자	
	축산폐수	
	축산폐수공공처리시설	
	축산폐수배출시설	
	축산폐수처리시설	
	축소	
	축약	
	축적	
	축전	
	축전지	
	축제	
	축조	
	축척	
	출경	
	출고	
	출고가	
	출고자	
	출구	
	출국	
	출국검사장	
	출국장	
	출국장면세매점	
	출근	
	출근자	
	출금	
	출금일	
	출납	
	출납공무원	
	출동	
	출동대	
	출두	
	출력	
	출력물	
	출무	
	출발	
	출발지	
	출산	
	출생	
	출석	
	출소	
	출시	
	출신	
	출연	
	출원	
	출원공개	
	출원인	
	출입	
	출입구	
	출입국	
	출입국검사장	
	출입국사범	
	출입국지역	
	출입자	
	출입장소	
	출자	
	출자인수권	
	출장	
	출장비	
	출장소	
	출장자	
	출정	
	출제	
	출차	
	출처	
	출토	
	출판	
	출판사	
	출하	
	출항	
	출항금지	
	출항적하목록	
	출항전신고	
	출항절차	
	출항허가	
	출현	
	출혈열	
	충격	
	충남	
	충당	
	충당금	
	충돌	
	충동	
	충북	
	충실	
	충원	
	충의	
	충전	
	충전기	
	충전설비	
	충전소	
	충전용기	
	충전인	
	충정	
	충족	
	충청남도	
	충청남도공주시	
	충청남도금산군	
	충청남도논산시	
	충청남도당진군	
	충청남도보령시	
	충청남도부여군	
	충청남도서산시	
	충청남도서천군	
	충청남도아산시	
	충청남도연기군	
	충청남도예산군	
	충청남도천안시	
	충청남도청양군	
	충청남도태안군	
	충청남도홍성군	
	충청북도	
	충청북도괴산군	
	충청북도단양군	
	충청북도보은군	
	충청북도영동군	
	충청북도옥천군	
	충청북도음성군	
	충청북도제천시	
	충청북도진천군	
	충청북도청원군	
	충청북도청주시	
	충청북도충주시	
	충해	
	취급	
	취급소	
	취급시설	
	취급점	
	취급제한금지물질	
	취득	
	취득가격	
	취득세	
	취득시효	
	취득일	
	취득자	
	취미	
	취소	
	취소가능신용장	
	취소불가능신용장	
	취소일	
	취소자	
	취수	
	취약	
	취업	
	취임	
	취임식	
	취재	
	취적	
	취지	
	취체	
	취침	
	취하	
	취학	
	취합	
	측구	
	측기	
	측량	
	측량계획기관	
	측량기록	
	측량기술자	
	측량성과	
	측량업	
	측량업자	
	측량작업기관	
	측면	
	측선	
	측점	
	측정	
	측정기	
	측정단위	
	측정소	
	측정자	
	측정표준	
	층	
	층운	
	치과	
	치과의사전공의	
	치료	
	치료교육	
	치료법	
	치료보호	
	치료자	
	치마	
	치매	
	치산	
	치수	
	치아	
	치안	
	치안감	
	치열	
	치유	
	치환	
	친고죄	
	친권	
	친밀	
	친밀도	
	친생자	
	친선	
	친절	
	친족	
	친지	
	친화	
	친화도	
	친환경	
	친환경농법	
	친환경농산물	
	친환경농업	
	친환경농업기술	
	친환경상품	
	칠	
	칠엽수	
	침구	
	침몰품	
	침범	
	침수	
	침식	
	침실	
	침입	
	침입탐지시스템	
	침출수	
	침투	
	침하	
	침해	
	침해사고	
	칩셋	
	칭찬	
	카드	
	카드뮴	
	카르네	
	카메라	
	카운트	
	카지노	
	카타리시스	
	카탈로그	
	카테고리	
	카페	
	카풀	
	칼라	
	칼럼	
	칼만필터	
	칼슘	
	캐드	
	캐릭터	
	캐비닛	
	캐쉬	
	캔트	
	캠퍼스	
	캠페인	
	캡처	
	커넥터	
	커뮤니케이션	
	커뮤니티	
	커미션	
	커버	
	커서	
	커스터마이징	
	커프스	
	커플	
	컨버터	
	컨베이어	
	컨설턴트	
	컨설팅	
	컨소시엄	
	컨테이너	
	컨테이너검색기	
	컨테이너검색기검사장	
	컨테이너부두	
	컨테이너부두기능시설	
	컨테이너서비스요금	
	컨테이너선하증권	
	컨테이너설비	
	컨테이너세	
	컨테이너안전협정	
	컨테이너야드	
	컨테이너야적장	
	컨테이너전용보세창고	
	컨테이너전용선	
	컨테이너조작장	
	컨테이너크레인	
	컨테이너터미널	
	컨테이너화물	
	컨테이너화물검사센터	
	컨텐츠	
	컬러	
	컬럼	
	컴파일	
	컴포넌트	
	컴퓨터	
	컴퓨터그래픽스	
	컴퓨터바이러스	
	컴퓨터프로그램보호법	
	컴퓨터프로그램저작물	
	케이블	
	코덱	
	코드	
	코스닥	
	코스닥시장	
	코스피	
	코아	
	코어	
	코칭	
	코카인	
	코팅	
	콘도	
	콘센트	
	콘솔	
	콘크리트	
	콘테이너	
	콘텐츠	
	콜센터	
	콜택시	
	콤비카드	
	콩팥	
	쿠리어	
	쿠키	
	쿠폰	
	쿼터	
	퀴즈	
	큐	
	크기	
	크랙	
	크랭크	
	크레인	
	크론	
	크롬	
	클라이언트	
	클래스	
	클러스터	
	클럭	
	클럽	
	클레임	
	클리닉	
	클릭	
	키	
	키보드	
	키워드	
	킬로미터	
	킬로바이트	
	타	
	타겟	
	타국	
	타기관	
	타당	
	타당성	
	타물권	
	타사	
	타소	
	타운미팅	
	타원	
	타원체	
	타이틀	
	타인	
	타임스탬프	
	타임아웃	
	타입	
	타자	
	타장치장	
	탁송	
	탁송품	
	탁자	
	탄광지역	
	탄력관세	
	탄력관세제도	
	탄력세율	
	탄성	
	탄성사	
	탄성체	
	탄약	
	탄원	
	탄화	
	탄화수소	
	탈당	
	탈락자	
	탈세	
	탈의실	
	탈퇴	
	탈환	
	탐구	
	탐사	
	탐색	
	탐지	
	탐지견	
	탐지자	
	탑	
	탑승	
	탑재	
	태권도	
	태그	
	태극삼	
	태도	
	태세	
	태스크포스	
	태아	
	태양광	
	태양광자동차	
	태양열	
	태양흑점	
	태업	
	태풍	
	택배	
	택시	
	택지	
	탱커	
	탱크	
	탱크	
	탱크선	
	탱크컨테이너	
	터널	
	터미널	
	터미널	
	터미널화물처리비	
	터빈	
	터치스크린전자투표기	
	터치스크린전자투표및개표시스템	
	테니스	
	테니스장	
	테두리	
	테러	
	테마	
	테스트	
	테이블	
	테이퍼	
	테이프	
	텍스트	
	텔넷	
	텔레마케팅	
	텔레매틱스	
	텔레메틱스	
	텔레비전	
	텔레비전공동시청안테나시설	
	텔레비전방송	
	텔레비젼	
	텔렉스	
	템플릿	
	토구	
	토론	
	토론회	
	토목	
	토목공사	
	토사	
	토속	
	토실	
	토양	
	토양개량	
	토양미생물	
	토양보전	
	토양오염	
