필드명	행정표준용어	매칭결과
"카바릴
"	개통	#N/A
"1_1_1-트리클로로에탄
"	개통자	#N/A
"테트라클로로에틸렌
"	개통지연	#N/A
"트리클로로에틸렌
"	개통희망일	#N/A
"사염화탄소
"	개편	#N/A
"1_1-디클로로에틸렌
"	개폐	#N/A
"디클로로메탄
"	개폐소	#N/A
"벤젠
"	개표	#N/A
"톨루엔
"	개표구	#N/A
"에틸벤젠
"	개품운송계약	#N/A
"크실렌
"	개항	#N/A
"1_2-디브로모-3-클로로프로판
"	개항장	#N/A
"1_4-다이옥산
"	개혁	#N/A
"잔류염소
"	개회	#N/A
"총트리할로메탄
"	객관	#N/A
"클로로포름
"	객관식	#N/A
"브로모디클로로메탄
"	객실	#N/A
"디브로모디클로로메탄
"	객원교수	#N/A
"클로랄하이드레이트
"	객차	#N/A
"디브로모아세토니트릴
"	객체	#N/A
"디클로로아세토니트릴
"	갯벌	#N/A
"트리클로로아세토니트릴
"	갯수	#N/A
"할로아세틱에시드
"	갱생	#N/A
"포름알데히드
"	갱신	#N/A
"심미적영향물질경도
"	갱신자	#N/A
"과망간산칼륨소비량
"	갱입	#N/A
"냄새
"	갱출	#N/A
"맛
"	거대선	#N/A
"동
"	거래	#N/A
"색도
"	거래가	#N/A
"세제
"	거래가격	#N/A
"수소이온농도
"	거래건수	#N/A
"아연
"	거래금액	#N/A
"염소이온
"	거래사례비교법	#N/A
"증발잔류물
"	거래세	#N/A
"철
"	거래소	#N/A
"망간
"	거래수량	#N/A
"탁도
"	거래일	#N/A
"황산이온
"	거래자	#N/A
"알루미늄
"	거래전	#N/A
"데이터기준일자
"	거래조건	#N/A
"위도
"	거래처	#N/A
"경도
"	거래형태	#N/A
"개방시설명
"	거래후	#N/A
"개방장소명
"	거리	#N/A
"개방시설유형구분
"	거목	#N/A
"휴관일
"	거버넌스	#N/A
"평일운영시작시각
"	거부	#N/A
"평일운영종료시각
"	거부권	#N/A
"주말운영시작시각
"	거북	#N/A
"주말운영종료시각
"	거소	#N/A
"유료사용여부
"	거소지정권	#N/A
"사용기준시간
"	거시	#N/A
"사용료
"	거절	#N/A
"초과사용단위시간
"	거절자	#N/A
"초과사용료
"	거절증서	#N/A
"수용가능인원수
"	거점	#N/A
"면적
"	거주	#N/A
"부대시설정보
"	거주성	#N/A
"신청방법구분
"	거주자	#N/A
"시설사진정보
"	거주지	#N/A
"소재지도로명주소
"	거짓	#N/A
"관리기관명
"	거처	#N/A
"담당부서명
"	거치	#N/A
"사용안내전화번호
"	거치관세율	#N/A
"홈페이지주소
"	거치금액	#N/A
"위도
"	거치기간	#N/A
"경도
"	거치담보	#N/A
"데이터기준일자
"	거치보험	#N/A
"소재지지번주소
"	건강	#N/A
"관리기관명
"	건강가정	#N/A
"소재지도로명주소
"	건강가정사	#N/A
"소재지지번주소
"	건강가정사업	#N/A
"설치목적구분
"	건강검사	#N/A
"카메라대수
"	건강기능식품	#N/A
"카메라화소수
"	건강보험	#N/A
"촬영방면정보
"	건국	#N/A
"보관일수
"	건국훈장	#N/A
"설치년월
"	건널목	#N/A
"관리기관전화번호
"	건당	#N/A
"위도
"	건립	#N/A
"경도
"	건물	#N/A
"데이터기준일자
"	건물군	#N/A
"도서관명
"	건물대지	#N/A
"시도명
"	건물동	#N/A
"시군구명
"	건물번호	#N/A
"도서관유형
"	건물유형	#N/A
"휴관일
"	건물주	#N/A
"운영시작시각
"	건물호	#N/A
"운영종료시각
"	건별	#N/A
"열람좌석수
"	건설	#N/A
"자료수(도서)
"	건설공사	#N/A
"자료수(연속간행물)
"	건설공사지원통합정보체계	#N/A
"자료수(비도서)
"	건설교통부	#N/A
"대출가능권수
"	건설근로자	#N/A
"대출가능일수
"	건설기계	#N/A
"소재지도로명주소
"	건설기계관리법	#N/A
"운영기관명
"	건설기계저당법	#N/A
"도서관전화번호
"	건설기술	#N/A
"부지면적
"	건설기술용역	#N/A
"건물면적
"	건설기술자	#N/A
"홈페이지주소
"	건설사업관리	#N/A
"위도
"	건설산업	#N/A
"경도
"	건설업	#N/A
"데이터기준일자
"	건설업월평균임금	#N/A
"평일운영시작시각
"	건설업자	#N/A
"평일운영종료시각
"	건설용역업	#N/A
"토요일운영시작시각
"	건설위탁	#N/A
